temperature,altitude,pressure,zone_class
31.53,36.1,1010.13,Hot_Dry
21.62,406.3,964.18,Cool_Humid
31.52,300.0,995.0,Hot_Dry
21.29,440.3,960.67,Cool_Humid
34.1,198.4,989.01,Unstable
32.31,128.9,1004.7,Hot_Dry
33.67,97.9,1007.15,Hot_Dry
20.0,594.8,945.53,Cool_Humid
23.66,345.8,974.97,Cool_Humid
32.61,205.5,995.0,Hot_Dry
29.97,178.1,995.0,Hot_Dry
21.7,643.0,945.0,Cool_Humid
15.0,35.3,994.75,Unstable
25.77,393.0,966.38,Cool_Humid
25.12,525.8,949.32,Cool_Humid
22.06,624.2,945.0,Cool_Humid
26.57,410.2,989.52,Unstable
30.48,757.6,937.79,Unstable
33.95,233.0,995.0,Hot_Dry
26.0,335.2,973.4,Cool_Humid
23.91,469.3,958.15,Cool_Humid
35.0,226.8,995.0,Hot_Dry
25.54,777.0,926.12,Unstable
30.62,189.3,989.01,Unstable
29.93,106.5,1003.63,Hot_Dry
35.0,184.3,998.78,Hot_Dry
22.16,533.1,948.07,Cool_Humid
31.94,121.1,1003.85,Hot_Dry
20.34,795.0,945.0,Cool_Humid
22.98,447.6,961.39,Cool_Humid
30.06,634.7,949.07,Unstable
24.46,599.1,945.0,Cool_Humid
21.75,590.0,945.2,Cool_Humid
29.82,110.8,1004.34,Hot_Dry
33.72,83.8,1006.76,Hot_Dry
26.17,627.7,926.69,Unstable
26.0,396.7,970.91,Cool_Humid
22.63,511.6,952.31,Cool_Humid
21.13,695.5,934.49,Unstable
23.06,354.1,972.58,Cool_Humid
21.93,118.8,1012.88,Unstable
26.0,314.8,989.35,Unstable
22.86,667.5,945.0,Cool_Humid
36.24,261.8,948.32,Unstable
21.7,498.8,953.8,Cool_Humid
24.19,430.1,960.69,Cool_Humid
31.04,954.4,900.0,Unstable
28.32,158.2,995.88,Hot_Dry
32.65,34.7,1007.05,Hot_Dry
28.73,149.9,998.45,Hot_Dry
21.94,535.8,951.82,Cool_Humid
29.64,83.3,1008.1,Hot_Dry
15.0,683.3,930.73,Unstable
30.6,163.7,999.57,Hot_Dry
30.56,424.9,951.56,Unstable
22.55,536.7,953.36,Cool_Humid
25.54,708.5,910.28,Unstable
31.14,149.2,999.03,Hot_Dry
15.0,583.2,948.33,Unstable
20.47,257.7,982.22,Unstable
16.04,918.0,900.0,Unstable
28.51,172.3,995.0,Hot_Dry
27.22,195.3,995.4,Unstable
24.12,361.8,971.03,Cool_Humid
20.49,527.3,952.37,Cool_Humid
21.1,502.1,953.56,Cool_Humid
26.0,326.8,973.52,Cool_Humid
40.0,615.4,941.27,Unstable
31.62,0.0,1016.91,Hot_Dry
22.55,800.0,945.0,Cool_Humid
31.66,182.1,995.0,Hot_Dry
35.0,237.1,995.0,Hot_Dry
31.24,69.1,1011.55,Hot_Dry
32.91,77.1,1012.48,Hot_Dry
21.84,402.4,969.85,Cool_Humid
15.0,634.3,944.79,Unstable
36.37,167.0,983.98,Unstable
22.85,505.7,955.5,Cool_Humid
21.11,404.3,964.37,Cool_Humid
33.59,244.2,973.42,Unstable
24.56,335.7,953.5,Unstable
24.27,422.3,962.7,Cool_Humid
23.48,463.0,955.08,Cool_Humid
29.96,92.1,1002.56,Hot_Dry
23.91,415.0,963.07,Cool_Humid
15.89,191.9,991.84,Unstable
28.69,165.3,995.0,Hot_Dry
24.46,594.2,976.52,Unstable
28.24,8.2,1004.45,Unstable
34.32,90.1,1003.95,Hot_Dry
20.06,498.6,953.38,Cool_Humid
22.66,627.9,945.0,Cool_Humid
40.0,372.7,910.9,Unstable
21.18,585.2,947.63,Cool_Humid
22.32,762.5,916.73,Unstable
39.73,859.0,911.3,Unstable
30.71,62.7,1011.31,Hot_Dry
25.82,374.1,970.38,Cool_Humid
37.21,335.2,962.31,Unstable
33.09,218.2,995.0,Hot_Dry
31.86,196.3,995.0,Hot_Dry
21.36,465.7,953.42,Cool_Humid
17.99,418.6,965.7,Unstable
31.11,148.8,999.06,Hot_Dry
34.08,44.3,998.42,Unstable
34.61,87.5,1007.59,Hot_Dry
25.0,700.5,945.0,Cool_Humid
24.94,169.5,981.35,Unstable
21.79,604.4,945.0,Cool_Humid
21.31,662.6,945.0,Cool_Humid
32.66,251.7,995.0,Hot_Dry
23.93,578.4,945.89,Cool_Humid
22.03,800.0,945.0,Cool_Humid
32.89,176.5,996.01,Hot_Dry
22.18,681.4,945.0,Cool_Humid
30.1,168.3,995.0,Hot_Dry
22.82,520.9,953.85,Cool_Humid
30.83,277.8,995.0,Hot_Dry
40.0,788.1,902.68,Unstable
33.49,91.8,1006.33,Hot_Dry
23.32,483.8,957.85,Cool_Humid
30.45,20.5,1013.44,Hot_Dry
23.26,739.2,945.0,Cool_Humid
30.32,206.6,995.0,Hot_Dry
31.2,146.4,995.77,Hot_Dry
35.0,122.8,1000.32,Hot_Dry
25.04,238.8,960.58,Unstable
33.63,738.9,911.93,Unstable
25.73,611.9,945.0,Cool_Humid
29.28,81.4,1003.87,Hot_Dry
29.97,190.5,995.0,Hot_Dry
30.92,569.4,947.09,Unstable
29.64,210.8,995.0,Hot_Dry
20.0,421.1,964.4,Cool_Humid
24.53,289.6,976.46,Cool_Humid
30.98,288.5,995.0,Hot_Dry
33.18,53.6,1012.24,Hot_Dry
21.67,423.7,963.33,Cool_Humid
24.52,555.3,948.58,Cool_Humid
22.86,608.4,945.0,Cool_Humid
20.62,492.9,953.55,Cool_Humid
31.49,123.8,1001.03,Hot_Dry
40.0,208.7,977.79,Unstable
38.8,477.1,975.58,Unstable
21.67,345.2,975.04,Cool_Humid
40.0,486.6,922.95,Unstable
28.02,573.2,926.33,Unstable
21.02,797.5,945.0,Cool_Humid
34.13,115.3,1005.48,Hot_Dry
26.0,461.2,960.19,Cool_Humid
40.0,695.2,928.48,Unstable
28.0,159.5,996.8,Hot_Dry
20.76,229.5,986.52,Cool_Humid
31.0,33.6,1014.46,Hot_Dry
30.96,195.5,995.0,Hot_Dry
32.19,136.9,1001.99,Hot_Dry
25.35,500.1,951.72,Cool_Humid
31.24,186.2,995.0,Hot_Dry
23.75,561.4,947.77,Cool_Humid
23.53,368.8,956.55,Unstable
40.0,519.4,962.45,Unstable
23.19,663.7,945.0,Cool_Humid
18.69,800.3,915.22,Unstable
21.99,633.1,945.0,Cool_Humid
22.67,599.3,945.0,Cool_Humid
26.0,435.1,961.58,Cool_Humid
28.93,114.3,1005.89,Hot_Dry
35.32,293.9,990.26,Unstable
34.95,146.3,998.72,Hot_Dry
23.99,402.4,964.66,Cool_Humid
31.77,116.1,997.7,Hot_Dry
15.0,822.3,933.27,Unstable
23.99,609.8,945.0,Cool_Humid
20.86,539.8,945.19,Cool_Humid
33.11,998.8,900.0,Unstable
20.0,442.3,958.88,Cool_Humid
24.79,571.0,946.19,Cool_Humid
24.54,207.8,989.76,Unstable
16.65,989.6,905.48,Unstable
21.05,535.3,948.97,Cool_Humid
20.73,610.3,945.0,Cool_Humid
25.78,365.5,973.09,Cool_Humid
25.51,420.3,961.57,Cool_Humid
40.0,776.7,918.3,Unstable
26.0,349.8,970.63,Cool_Humid
32.77,632.8,943.12,Unstable
25.67,394.0,966.67,Cool_Humid
20.0,729.9,945.0,Cool_Humid
20.51,728.3,920.53,Unstable
23.02,589.1,949.88,Unstable
34.28,115.6,1000.48,Hot_Dry
26.0,351.8,971.87,Cool_Humid
23.15,286.3,978.73,Cool_Humid
33.4,82.0,1005.55,Hot_Dry
33.8,38.4,1009.69,Hot_Dry
32.15,112.8,1006.2,Hot_Dry
20.0,447.6,960.04,Cool_Humid
36.06,218.2,976.05,Unstable
30.57,300.0,995.0,Hot_Dry
34.06,0.0,1019.38,Hot_Dry
21.26,667.6,945.0,Cool_Humid
34.39,440.0,965.56,Unstable
25.45,521.5,953.55,Cool_Humid
27.13,799.2,917.94,Unstable
24.29,421.3,966.25,Cool_Humid
32.65,65.7,1011.04,Hot_Dry
34.59,493.5,979.81,Unstable
22.62,643.8,945.0,Cool_Humid
24.29,386.2,966.48,Cool_Humid
23.06,409.7,956.01,Unstable
26.0,405.4,963.93,Cool_Humid
22.98,800.0,945.0,Cool_Humid
23.64,632.2,919.61,Unstable
28.63,231.9,995.0,Hot_Dry
31.49,191.3,995.0,Hot_Dry
31.12,86.9,1009.5,Hot_Dry
32.65,593.2,957.35,Unstable
24.7,200.0,987.5,Cool_Humid
21.15,630.1,945.0,Cool_Humid
22.51,800.0,945.0,Cool_Humid
23.06,556.6,950.11,Cool_Humid
23.61,633.0,945.0,Cool_Humid
26.0,706.2,945.0,Cool_Humid
34.73,215.7,995.0,Hot_Dry
24.44,892.1,905.62,Unstable
21.22,612.2,945.0,Cool_Humid
20.05,430.6,930.41,Unstable
24.37,566.1,946.93,Cool_Humid
20.0,555.1,949.57,Cool_Humid
29.97,171.2,995.0,Hot_Dry
29.25,145.5,995.72,Hot_Dry
32.94,205.6,995.0,Hot_Dry
40.0,686.7,938.81,Unstable
22.34,534.7,950.22,Cool_Humid
30.73,244.7,995.0,Hot_Dry
31.54,201.5,995.0,Hot_Dry
22.17,203.5,988.44,Cool_Humid
25.31,396.1,965.45,Cool_Humid
20.63,563.5,947.78,Cool_Humid
25.69,389.1,969.28,Cool_Humid
23.84,395.1,966.89,Cool_Humid
22.56,645.5,931.21,Unstable
33.19,198.4,995.97,Hot_Dry
19.33,469.5,977.78,Unstable
24.7,620.8,945.0,Cool_Humid
36.25,763.6,964.98,Unstable
40.0,300.1,980.41,Unstable
27.49,947.4,907.88,Unstable
17.44,238.8,992.98,Unstable
21.15,244.5,969.64,Unstable
24.84,800.0,945.0,Cool_Humid
40.0,46.4,999.78,Unstable
32.05,71.5,1008.34,Hot_Dry
26.81,841.4,938.43,Unstable
22.8,564.9,945.0,Cool_Humid
23.12,570.5,945.0,Cool_Humid
21.29,607.2,945.0,Cool_Humid
20.61,461.6,956.48,Unstable
35.13,625.3,920.3,Unstable
36.83,428.1,976.9,Unstable
34.33,128.0,1001.95,Hot_Dry
21.67,394.2,968.11,Cool_Humid
31.0,244.8,995.0,Hot_Dry
15.85,145.6,995.43,Unstable
31.5,247.4,995.0,Hot_Dry
22.53,522.3,952.18,Cool_Humid
20.77,992.0,910.1,Unstable
37.47,568.1,946.79,Unstable
15.0,780.4,900.0,Unstable
33.49,120.1,1001.62,Hot_Dry
31.45,144.9,1000.24,Hot_Dry
30.08,562.0,932.12,Unstable
20.0,476.1,959.08,Cool_Humid
16.9,387.1,965.64,Unstable
24.5,651.0,945.0,Cool_Humid
34.42,102.2,999.93,Hot_Dry
15.0,334.7,989.76,Unstable
36.15,621.6,942.05,Unstable
40.0,753.0,941.07,Unstable
29.87,189.4,995.0,Hot_Dry
29.68,130.4,1005.97,Hot_Dry
30.25,169.6,995.27,Hot_Dry
27.04,683.8,908.17,Unstable
30.45,155.1,998.27,Hot_Dry
25.32,549.7,951.66,Cool_Humid
24.46,475.3,955.46,Cool_Humid
31.53,125.7,1000.85,Hot_Dry
31.69,90.6,1006.81,Hot_Dry
29.9,97.6,1021.96,Unstable
28.22,262.8,995.0,Hot_Dry
31.04,47.2,1013.3,Hot_Dry
31.8,195.7,995.0,Hot_Dry
38.86,441.0,982.73,Unstable
20.94,541.0,948.7,Unstable
34.04,124.6,997.36,Hot_Dry
20.0,546.2,947.59,Cool_Humid
26.0,595.8,945.0,Cool_Humid
21.97,371.9,970.77,Cool_Humid
26.16,107.1,983.48,Unstable
22.42,583.0,949.01,Cool_Humid
26.0,291.2,978.53,Cool_Humid
21.72,906.8,921.47,Unstable
22.5,516.1,953.42,Cool_Humid
17.17,38.3,1006.78,Unstable
40.0,294.0,971.49,Unstable
19.15,122.3,1007.02,Unstable
20.5,552.7,960.41,Unstable
34.41,235.7,995.0,Hot_Dry
22.91,611.0,945.0,Cool_Humid
24.88,82.2,999.29,Unstable
31.57,60.8,1008.98,Hot_Dry
32.98,796.9,937.82,Unstable
24.45,754.4,945.0,Cool_Humid
32.46,0.0,1013.67,Hot_Dry
24.43,176.0,1001.97,Unstable
22.84,432.4,960.84,Cool_Humid
40.0,789.6,906.54,Unstable
29.63,641.3,931.69,Unstable
31.99,187.2,995.0,Hot_Dry
23.33,588.9,947.11,Cool_Humid
26.0,200.0,991.39,Cool_Humid
23.83,422.4,963.5,Cool_Humid
16.75,456.9,960.91,Unstable
22.34,372.3,966.26,Cool_Humid
24.22,542.1,950.55,Cool_Humid
27.87,413.7,936.27,Unstable
20.36,527.5,951.69,Cool_Humid
16.45,218.0,984.87,Unstable
20.24,612.8,945.0,Cool_Humid
31.66,135.3,998.25,Hot_Dry
21.79,376.2,971.34,Cool_Humid
40.0,94.1,998.27,Unstable
40.0,221.8,991.07,Unstable
24.73,608.7,945.0,Cool_Humid
21.53,911.8,901.6,Unstable
33.74,118.6,1002.13,Hot_Dry
24.96,200.0,987.33,Cool_Humid
29.32,128.0,1003.01,Hot_Dry
39.05,260.8,983.31,Unstable
26.0,663.3,945.0,Cool_Humid
29.91,99.4,1001.41,Hot_Dry
23.13,684.6,945.0,Cool_Humid
22.05,511.4,951.56,Cool_Humid
39.24,592.2,937.01,Unstable
32.46,197.1,995.46,Hot_Dry
22.15,580.8,945.74,Cool_Humid
37.7,48.1,991.98,Unstable
22.26,446.4,962.58,Cool_Humid
31.12,789.2,942.66,Unstable
20.0,353.2,972.37,Cool_Humid
31.31,496.8,958.51,Unstable
35.0,90.8,1005.61,Hot_Dry
31.64,499.4,939.45,Unstable
24.5,774.9,945.0,Cool_Humid
20.95,578.3,955.86,Unstable
38.58,309.0,976.6,Unstable
33.48,94.4,998.77,Hot_Dry
28.92,300.0,995.0,Hot_Dry
19.46,906.5,903.33,Unstable
31.96,142.7,999.51,Hot_Dry
40.0,415.8,946.36,Unstable
24.33,830.4,927.35,Unstable
30.73,548.3,947.95,Unstable
35.0,63.7,1010.6,Hot_Dry
21.8,503.2,952.51,Cool_Humid
21.56,576.6,946.95,Cool_Humid
22.12,450.4,960.61,Cool_Humid
25.5,743.4,940.68,Unstable
29.71,422.0,985.72,Unstable
16.33,534.5,958.12,Unstable
21.89,517.1,950.48,Cool_Humid
29.71,74.4,1005.88,Hot_Dry
21.93,658.2,945.0,Cool_Humid
31.52,240.1,995.0,Hot_Dry
18.9,671.8,924.2,Unstable
31.81,675.1,921.46,Unstable
34.2,266.1,998.5,Unstable
22.1,702.7,945.0,Cool_Humid
32.62,217.0,995.0,Hot_Dry
23.54,337.1,975.25,Cool_Humid
20.53,491.6,950.92,Unstable
29.55,154.1,995.01,Hot_Dry
29.91,295.8,974.54,Unstable
22.04,594.4,945.0,Cool_Humid
23.1,509.5,959.05,Cool_Humid
32.47,259.8,978.12,Unstable
23.7,371.4,945.02,Unstable
32.84,113.4,1003.42,Hot_Dry
35.62,7.0,1004.67,Unstable
31.31,740.2,900.0,Unstable
32.06,60.9,1009.75,Hot_Dry
24.9,243.4,981.22,Cool_Humid
23.99,378.9,966.47,Cool_Humid
22.65,524.2,949.73,Cool_Humid
24.46,377.3,969.59,Cool_Humid
23.74,297.8,980.15,Cool_Humid
29.21,260.7,995.0,Hot_Dry
21.25,556.9,946.98,Cool_Humid
26.0,321.2,973.74,Cool_Humid
31.64,156.5,997.93,Hot_Dry
26.0,264.3,981.98,Cool_Humid
34.36,702.6,937.83,Unstable
20.4,560.1,957.67,Unstable
31.92,595.6,962.87,Unstable
23.63,609.7,945.0,Cool_Humid
29.55,81.3,985.5,Unstable
33.32,803.8,910.85,Unstable
40.0,203.5,981.22,Unstable
25.88,303.1,975.77,Cool_Humid
20.0,447.3,960.7,Cool_Humid
28.2,83.4,1007.51,Hot_Dry
34.29,116.6,1003.25,Hot_Dry
31.77,145.3,1003.51,Unstable
23.61,586.8,947.8,Cool_Humid
20.81,362.6,970.17,Cool_Humid
21.43,546.9,948.72,Cool_Humid
22.28,440.0,960.46,Cool_Humid
24.62,274.5,978.07,Cool_Humid
31.13,188.7,995.0,Hot_Dry
23.1,214.3,987.04,Cool_Humid
31.54,87.2,1004.33,Hot_Dry
23.49,731.0,945.0,Cool_Humid
24.7,514.0,953.5,Cool_Humid
21.56,387.4,967.58,Cool_Humid
16.15,394.1,968.64,Unstable
30.9,249.0,995.0,Hot_Dry
22.44,528.2,952.21,Cool_Humid
32.75,198.6,995.0,Hot_Dry
33.52,150.7,998.6,Hot_Dry
23.5,446.1,961.65,Cool_Humid
20.0,525.6,953.52,Cool_Humid
22.24,525.3,952.09,Cool_Humid
35.0,71.8,1010.13,Hot_Dry
29.47,174.2,995.0,Hot_Dry
33.69,61.3,1007.06,Hot_Dry
28.54,501.4,958.15,Unstable
31.17,154.7,995.0,Hot_Dry
30.45,214.2,995.0,Hot_Dry
30.36,175.6,996.55,Hot_Dry
29.6,81.7,1008.33,Hot_Dry
22.33,563.8,946.55,Cool_Humid
28.54,0.0,1017.21,Hot_Dry
24.46,495.6,957.21,Cool_Humid
26.0,347.6,967.72,Cool_Humid
31.91,876.7,958.16,Unstable
31.04,202.2,995.0,Hot_Dry
40.0,381.3,983.26,Unstable
32.28,202.6,977.42,Unstable
33.42,130.7,996.97,Hot_Dry
15.0,45.1,1009.59,Unstable
23.46,726.7,937.98,Unstable
28.41,107.1,1000.0,Hot_Dry
25.2,428.6,963.35,Cool_Humid
36.53,729.9,912.55,Unstable
33.83,115.0,1000.53,Hot_Dry
35.47,862.0,904.97,Unstable
33.92,290.9,995.0,Hot_Dry
30.34,137.4,1001.51,Unstable
20.0,800.0,945.0,Cool_Humid
25.34,376.7,967.09,Cool_Humid
29.28,567.8,945.96,Unstable
31.43,156.7,998.35,Hot_Dry
35.89,572.0,959.27,Unstable
33.92,843.4,922.7,Unstable
20.09,509.7,954.2,Cool_Humid
30.58,53.4,1009.39,Hot_Dry
30.8,166.3,997.84,Hot_Dry
32.16,130.3,1000.58,Hot_Dry
32.05,165.6,999.77,Hot_Dry
15.0,602.5,930.86,Unstable
24.57,665.3,945.0,Cool_Humid
36.76,418.8,962.02,Unstable
40.0,307.4,963.88,Unstable
20.0,572.1,945.0,Cool_Humid
15.92,393.1,961.15,Unstable
21.61,621.2,945.0,Cool_Humid
36.64,586.6,934.41,Unstable
26.61,212.1,1000.3,Unstable
31.27,7.2,1017.69,Hot_Dry
18.75,343.9,965.65,Unstable
22.01,723.9,945.0,Cool_Humid
26.0,454.5,957.1,Cool_Humid
32.5,428.0,960.84,Unstable
21.46,988.5,900.0,Unstable
29.89,607.9,900.0,Unstable
21.72,478.8,957.62,Cool_Humid
26.0,222.2,985.48,Cool_Humid
32.45,164.1,995.0,Hot_Dry
30.04,238.8,995.0,Hot_Dry
31.23,123.8,1003.21,Hot_Dry
25.74,321.4,973.38,Cool_Humid
21.05,685.9,945.0,Cool_Humid
31.66,89.7,1008.51,Hot_Dry
22.66,599.2,944.66,Unstable
17.31,780.5,901.91,Unstable
31.27,2.3,1018.62,Hot_Dry
22.99,563.9,946.05,Cool_Humid
31.53,199.2,995.0,Hot_Dry
24.64,710.3,945.0,Cool_Humid
24.06,452.7,959.58,Cool_Humid
31.1,244.6,971.83,Unstable
32.32,11.6,1019.11,Hot_Dry
34.14,49.9,1009.14,Hot_Dry
24.49,444.3,962.07,Cool_Humid
21.67,567.7,945.07,Unstable
25.33,234.4,985.17,Cool_Humid
15.0,134.4,978.25,Unstable
26.0,200.0,988.76,Cool_Humid
40.0,647.6,932.83,Unstable
23.69,41.0,1023.1,Unstable
33.17,45.2,1010.59,Hot_Dry
20.8,505.1,954.5,Cool_Humid
23.19,539.7,949.65,Cool_Humid
24.47,483.0,955.81,Cool_Humid
30.48,78.6,1029.85,Unstable
18.14,426.1,968.3,Unstable
26.35,38.3,1008.14,Unstable
32.2,225.0,995.0,Hot_Dry
24.39,635.6,937.83,Unstable
30.45,143.5,999.06,Hot_Dry
32.15,161.0,997.05,Hot_Dry
16.71,524.8,944.42,Unstable
32.56,96.5,1001.8,Hot_Dry
37.04,405.2,974.7,Unstable
24.7,376.5,965.12,Cool_Humid
35.0,17.7,1016.98,Hot_Dry
32.11,144.7,999.89,Hot_Dry
33.95,300.0,995.0,Hot_Dry
30.53,302.7,976.74,Unstable
34.84,578.8,939.28,Unstable
28.55,444.9,950.1,Unstable
22.61,606.9,945.0,Cool_Humid
29.14,220.4,995.0,Hot_Dry
28.67,220.0,995.0,Hot_Dry
39.24,536.8,983.62,Unstable
22.74,347.3,971.33,Cool_Humid
30.22,136.0,997.92,Hot_Dry
25.22,321.2,969.01,Unstable
25.78,785.6,945.0,Cool_Humid
24.97,471.8,956.19,Cool_Humid
23.57,741.1,941.65,Unstable
23.45,356.4,969.41,Cool_Humid
40.0,960.5,908.45,Unstable
35.0,127.5,1002.6,Hot_Dry
29.54,86.4,1003.6,Hot_Dry
25.48,301.9,979.94,Cool_Humid
19.8,91.4,1000.38,Unstable
31.2,173.3,997.13,Hot_Dry
29.17,221.4,995.0,Hot_Dry
36.77,937.5,904.12,Unstable
20.0,445.6,957.35,Cool_Humid
25.79,288.7,976.22,Cool_Humid
31.3,159.2,996.4,Hot_Dry
27.95,904.9,907.61,Unstable
32.65,140.2,997.51,Hot_Dry
31.19,362.5,966.89,Unstable
33.58,61.8,1009.17,Hot_Dry
24.44,341.2,976.86,Cool_Humid
23.69,200.2,990.67,Cool_Humid
30.6,300.0,995.0,Hot_Dry
20.0,365.4,973.66,Cool_Humid
17.97,980.0,901.44,Unstable
32.49,585.3,932.02,Unstable
33.03,935.5,918.23,Unstable
27.12,951.8,915.39,Unstable
25.73,289.0,982.26,Cool_Humid
26.0,370.5,973.54,Cool_Humid
26.0,439.3,964.78,Cool_Humid
24.58,200.0,987.27,Cool_Humid
24.69,854.9,915.56,Unstable
30.23,156.8,999.63,Hot_Dry
26.11,800.2,934.93,Unstable
32.96,175.5,995.0,Hot_Dry
34.7,139.2,1004.42,Hot_Dry
24.04,593.3,945.0,Cool_Humid
20.0,462.3,958.2,Cool_Humid
23.25,409.3,966.12,Cool_Humid
29.21,52.9,1010.64,Hot_Dry
34.97,444.6,977.21,Unstable
28.43,123.6,1001.27,Hot_Dry
23.69,452.6,960.34,Cool_Humid
25.14,295.1,980.41,Cool_Humid
28.12,175.4,996.5,Hot_Dry
33.26,83.9,1007.44,Hot_Dry
30.46,814.0,916.95,Unstable
36.05,671.2,931.68,Unstable
26.0,475.0,957.27,Cool_Humid
25.04,289.2,977.65,Cool_Humid
32.86,527.1,952.23,Unstable
29.51,219.0,997.82,Unstable
23.45,800.0,945.0,Cool_Humid
22.03,577.3,946.84,Cool_Humid
23.93,393.8,970.57,Cool_Humid
29.17,195.3,995.0,Hot_Dry
30.74,185.9,997.4,Hot_Dry
22.88,546.7,946.77,Cool_Humid
25.04,482.1,958.01,Cool_Humid
20.39,527.9,952.8,Cool_Humid
32.89,142.8,995.73,Hot_Dry
37.54,156.1,991.32,Unstable
23.32,762.0,945.0,Cool_Humid
27.27,718.5,964.79,Unstable
35.0,0.0,1021.22,Hot_Dry
22.19,666.5,945.0,Cool_Humid
20.6,70.6,997.84,Unstable
29.08,981.9,900.0,Unstable
29.84,198.2,995.0,Hot_Dry
24.0,272.8,984.42,Cool_Humid
32.35,295.7,995.0,Hot_Dry
29.65,117.5,1008.22,Hot_Dry
22.26,172.5,978.7,Unstable
34.52,657.6,961.09,Unstable
25.03,456.9,962.09,Cool_Humid
31.0,968.3,918.3,Unstable
38.19,348.5,969.68,Unstable
23.29,650.5,945.0,Cool_Humid
34.45,783.0,922.7,Unstable
31.29,161.2,996.23,Hot_Dry
19.64,270.1,984.02,Unstable
23.9,544.8,948.97,Cool_Humid
21.27,485.5,954.39,Cool_Humid
15.0,931.1,902.19,Unstable
40.0,77.5,1012.0,Unstable
29.37,192.8,995.0,Hot_Dry
33.78,834.7,907.51,Unstable
22.37,468.3,957.99,Cool_Humid
19.68,122.0,977.93,Unstable
15.0,170.7,1000.82,Unstable
31.93,3.1,1015.04,Hot_Dry
25.08,218.7,986.93,Cool_Humid
30.55,640.4,963.4,Unstable
23.52,613.8,945.0,Cool_Humid
17.75,168.3,1005.39,Unstable
30.35,107.1,1004.46,Hot_Dry
23.73,679.9,945.0,Cool_Humid
31.7,136.3,1003.19,Hot_Dry
32.52,59.7,1009.89,Hot_Dry
24.56,643.8,939.26,Unstable
22.87,657.8,945.0,Cool_Humid
30.83,704.0,928.63,Unstable
24.3,897.4,906.55,Unstable
24.22,855.4,908.33,Unstable
23.58,910.7,901.62,Unstable
32.0,170.1,995.0,Hot_Dry
24.45,496.9,957.53,Cool_Humid
24.9,487.4,955.65,Cool_Humid
23.51,539.5,951.24,Cool_Humid
